epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,490.921,1.35967,0.99445,1.1812,0.86236,0.69486,0.78447,0.49787,1.25454,0.84421,1.09942,0.00597826,0.00199275,0.00597826,0.00199275,0.00597826,0.00199275,0.00597826,0.00199275
2,976.701,1.21842,0.64495,1.10513,0.86254,0.68141,0.78004,0.49131,1.25184,0.89801,1.13604,0.0119775,0.00399251,0.0119775,0.00399251,0.0119775,0.00399251,0.0119775,0.00399251
3,1464.97,1.2507,0.6764,1.12474,0.82801,0.63923,0.73198,0.43919,1.33702,0.97974,1.20172,0.0179739,0.00599129,0.0179739,0.00599129,0.0179739,0.00599129,0.0179739,0.00599129
4,1952.28,1.31445,0.72966,1.15928,0.81194,0.61326,0.70195,0.39432,1.46211,1.15305,1.30395,0.0239651,0.00798836,0.0239651,0.00798836,0.0239651,0.00798836,0.0239651,0.00798836
5,2436.61,1.36041,0.7777,1.19579,0.65053,0.48048,0.50295,0.27189,1.63301,1.54351,1.46291,0.029949,0.00998299,0.029949,0.00998299,0.029949,0.00998299,0.029949,0.00998299
6,2926.87,1.35803,0.77305,1.20832,0.8077,0.6143,0.69897,0.41275,1.41218,1.0709,1.35357,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,3411.79,1.30473,0.72177,1.18062,0.83199,0.62091,0.71298,0.42717,1.40283,0.99429,1.35342,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,3898.58,1.26779,0.68892,1.16106,0.8309,0.65604,0.74394,0.45868,1.33497,0.92387,1.28542,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,4387.4,1.23203,0.65722,1.14551,0.85166,0.68587,0.77387,0.4866,1.28874,0.86544,1.27422,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,4872.48,1.2115,0.64351,1.13547,0.86519,0.70401,0.7871,0.5001,1.2704,0.86089,1.25307,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,5367.03,1.19015,0.62516,1.12839,0.85603,0.69302,0.78315,0.49273,1.27196,0.81107,1.23824,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,5862.15,1.17531,0.61216,1.11881,0.86808,0.71408,0.80151,0.51449,1.25433,0.80641,1.22097,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,6354.03,1.15735,0.60173,1.1109,0.8616,0.72224,0.80457,0.51919,1.23722,0.77241,1.22147,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,6842.7,1.15081,0.5959,1.10427,0.87875,0.71158,0.80344,0.51771,1.25341,0.82206,1.22203,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,7329.58,1.13761,0.58831,1.10095,0.87443,0.72039,0.8084,0.51734,1.27723,0.76081,1.23243,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
